date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:12	10644/10644	---M--	200	added ('OK')	image/gif	etag:%222994-5e294e4aaf6c0%22	http://orteil.dashnet.org/cookieclicker/beta/img/tinyglobeSheet.gif	orteil.dashnet.org/cookieclicker/beta/img/tinyglobeSheet.gif	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:13	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	http://orteil.dashnet.org/cookieclicker/beta/beta	orteil.dashnet.org/cookieclicker/beta/beta	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:14	3417/3417	---M--	200	added ('OK')	audio/mpeg	etag:%22d59-5cabd6274ba40%22	http://orteil.dashnet.org/cookieclicker/beta/snd/tickOff.mp3	orteil.dashnet.org/cookieclicker/beta/snd/tickOff.mp3	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:15	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	http://orteil.dashnet.org/cookieclicker/beta/playsaurusbanner1.png	orteil.dashnet.org/cookieclicker/beta/playsaurusbanner1.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:16	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	http://orteil.dashnet.org/cookieclicker/beta/playsaurusbanner2.png	orteil.dashnet.org/cookieclicker/beta/playsaurusbanner2.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:17	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	http://orteil.dashnet.org/cookieclicker/beta/playsaurusbanner3.png	orteil.dashnet.org/cookieclicker/beta/playsaurusbanner3.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:18	25883/25883	---M--	200	added ('OK')	image/png	etag:%227af5-5f660313e19c0%22	http://orteil.dashnet.org/cookieclicker/beta/img/AQWorlds_CookieClicker_300x40.png	orteil.dashnet.org/cookieclicker/beta/img/AQWorlds_CookieClicker_300x40.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:19	318/318	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2213e-4e56a20c63f80%22	http://orteil.dashnet.org/cookieclicker/v10466/favicon.ico	orteil.dashnet.org/cookieclicker/v10466/favicon.ico	(from http://orteil.dashnet.org/cookieclicker/v10466/)
20:59:20	27206/27206	---M-Z	200	added ('OK')	text/css	etag:%226a46-4f9b63efd62c0-gzip%22	http://orteil.dashnet.org/cookieclicker/v10466/style.css?v=1.77	orteil.dashnet.org/cookieclicker/v10466/style26c0.css	(from http://orteil.dashnet.org/cookieclicker/v10466/)
20:59:21	3002/3002	---M-Z	200	added ('OK')	text/javascript	etag:%22bba-4e5696c4aa280-gzip%22	http://orteil.dashnet.org/cookieclicker/v10466/base64.js	orteil.dashnet.org/cookieclicker/v10466/base64.js	(from http://orteil.dashnet.org/cookieclicker/v10466/)
